APP,Image Setting Value,,Save Option,Tampered image file name
Meitu,Image Quality,UHD,Quick Save,MTXX_formula20230210103353521.jpg
,,UHD,Quick Save,MTXX_formula20230210103507942.jpg
,,UHD,Quick Save,MTXX_formula20230210103539608.jpg
,,UHD,Quick Save,MTXX_formula20230210103907006.jpg
,,UHD,Quick Save,MTXX_formula20230210104024770.jpg
,,UHD,Quick Save,MTXX_formula20230210104158831.jpg
,,UHD,Quick Save,MTXX_formula20230210104234941.jpg
,,UHD,Quick Save,MTXX_formula20230210104301276.jpg
,,UHD,Quick Save,MTXX_formula20230210104323590.jpg
,,UHD,Quick Save,MTXX_formula20230210104426268.jpg
,,UHD,Quick Save,MTXX_formula20230221153903927.jpg
,,UHD,Save,MTXX_MH20230210102938158.jpg
,,UHD,Save,MTXX_MH20230210104942623.jpg
,,UHD,Save,MTXX_MH20230210105012452.jpg
,,UHD,Save,MTXX_MH20230210105043017.jpg
,,UHD,Save,MTXX_MH20230210105146938.jpg
,,UHD,Save,MTXX_MH20230210105209813.jpg
,,UHD,Save,MTXX_MH20230210105420978.jpg
,,UHD,Save,MTXX_MH20230210105452187.jpg
,,UHD,Save,MTXX_MH20230210105511222.jpg
,,UHD,Save,MTXX_MH20230210105529715.jpg
,,UHD,Save,MTXX_MH20230210105558402.jpg
,,Standard,Quick Save,MTXX_formula20230210110107071.jpg
,,Standard,Quick Save,MTXX_formula20230210110128992.jpg
,,Standard,Quick Save,MTXX_formula20230210110143015.jpg
,,Standard,Quick Save,MTXX_formula20230210110158472.jpg
,,Standard,Quick Save,MTXX_formula20230210110216943.jpg
,,Standard,Quick Save,MTXX_formula20230210110234459.jpg
,,Standard,Quick Save,MTXX_formula20230210110252765.jpg
,,Standard,Quick Save,MTXX_formula20230210110306063.jpg
,,Standard,Quick Save,MTXX_formula20230210110325198.jpg
,,Standard,Quick Save,MTXX_formula20230210110341521.jpg
,,Standard,Quick Save,MTXX_formula20230210110426797.jpg
,,Standard,Save,MTXX_MH20230210110729046.jpg
,,Standard,Save,MTXX_MH20230210110949830.jpg
,,Standard,Save,MTXX_MH20230210111004656.jpg
,,Standard,Save,MTXX_MH20230210111027901.jpg
,,Standard,Save,MTXX_MH20230210111119616.jpg
,,Standard,Save,MTXX_MH20230210111147926.jpg
,,Standard,Save,MTXX_MH20230210111208523.jpg
,,Standard,Save,MTXX_MH20230210111231927.jpg
,,Standard,Save,MTXX_MH20230210111244818.jpg
,,Standard,Save,MTXX_MH20230210111257790.jpg
,,Standard,Save,MTXX_MH20230210111323989.jpg
Remove Unwanted Object,x,x,Save,WipeOut18_10_2023_111839.568000.jpg
,,x,Save,WipeOut19_10_2023_111937.563000.jpg
,,x,Save,WipeOut20_10_2023_112046.951000.jpg
,,x,Save,WipeOut44_10_2023_014407.236000.jpg
,,x,Save,WipeOut44_10_2023_014444.478000.jpg
,,x,Save,WipeOut45_10_2023_014514.954000.jpg
,,x,Save,WipeOut46_10_2023_014600.121000.jpg
,,x,Save,WipeOut47_10_2023_014704.729000.jpg
